Rank,Status,Study Results,Conditions,Interventions,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Start Date,Completion Date,Locations
4869,Not yet recruiting,No Results Available,Anxiety,Behavioral,All,Adults & Older Adults,Not Applicable,201-300 persons,Others Only,Interventional,2021,2022,Others
4870,Recruiting,No Results Available,Others,Behavioral,All,Adults & Older Adults,Not Applicable,1-100 persons,Others & NIH,Interventional,2020,2022,United States of America
4871,Completed,No Results Available,Pneumonia & Covid-19,Drug,All,Adults & Older Adults,Phase 4,1-100 persons,Others Only,Interventional,2020,2020,China
4872,Recruiting,No Results Available,Others,Device,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Italy
4873,Completed,No Results Available,Others,Others,All,"Children, Adults & Older Adults",Not Applicable,701-800 persons,Others Only,Interventional,2020,2020,Spain
4874,Enrolling by invitation,No Results Available,Covid-19 Only,Drug,All,"Children, Adults & Older Adults",,101-200 persons,Others Only,Observational,2021,2021,Egypt
4875,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,France
4876,"Active, not recruiting",No Results Available,Others,,Male,Older Adults Only,,1-100 persons,Others Only,Observational,2020,2020,Germany
4877,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2020,Others
4878,Completed,No Results Available,Others,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2020,United States of America
4879,Recruiting,No Results Available,PTSD & Covid-19,Behavioral,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2022,Israel
4880,Completed,Has Results,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 3,1-100 persons,Others Only,Interventional,2020,2020,United States of America
4881,Completed,No Results Available,Others,Others,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2020,Mexico
4882,Not yet recruiting,No Results Available,Others,,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2021,2023,Others
4883,Recruiting,No Results Available,Other Acute Diseases & Covid-19,Procedural,All,"Children, Adults & Older Adults",,101-200 persons,Others Only,Observational,2020,2021,United Kingdom
4884,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Others & Industry,Interventional,2020,2021,United States of America
4885,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Children Only,Phase 2 & Phase 3,5001-10k persons,Industry Only,Interventional,2021,2023,United States of America
4886,Available,No Results Available,Cancer & Covid-19,Combination Product,All,Adults & Older Adults,,,Industry Only,Expanded Access,,,United States of America
4887,Completed,No Results Available,Cancer & Covid-19,,All,"Children, Adults & Older Adults",,1001-5k persons,Others Only,Observational,2020,2020,France
4888,Not yet recruiting,No Results Available,Others,Others,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2020,Others
4889,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 1,101-200 persons,Others & Industry,Interventional,2021,2022,Others
4890,Recruiting,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,Phase 2,1-100 persons,Others & NIH,Interventional,2020,2021,United States of America
4891,Not yet recruiting,No Results Available,Anxiety,Behavioral,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2020,Others
4892,Recruiting,No Results Available,Other Chroninc Diseases & Covid-19,Others,All,Children & Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2021,Brazil
4893,Completed,No Results Available,Others,Others,All,Adults Only,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,United Kingdom
4894,Not yet recruiting,No Results Available,Anxiety,Others,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2020,Others
4895,Recruiting,No Results Available,Pneumonia & Covid-19,Device,All,Adults & Older Adults,Not Applicable,201-300 persons,Others Only,Interventional,2020,2021,Canada
4896,Recruiting,No Results Available,Pneumonia & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Industry & Others,Interventional,2021,2021,United States of America
4897,Completed,No Results Available,Mental Health,Behavioral,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Others
4898,"Active, not recruiting",No Results Available,Covid-19 Only,Behavioral,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2021,United States of America
4899,Not yet recruiting,No Results Available,PTSD & Covid-19,Behavioral,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Hong Kong
4900,Recruiting,No Results Available,Anxiety,Behavioral,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Belgium
4901,Completed,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,France
4902,Not yet recruiting,No Results Available,Anxiety,,All,Adults & Older Adults,,5001-10k persons,Others Only,Observational,2020,2020,Others
4903,"Active, not recruiting",No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,5001-10k persons,Others Only,Interventional,2020,2025,United States of America
4904,Completed,No Results Available,Mental Health,Others,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2020,France
4905,Completed,No Results Available,SARS-CoV-2 & Covid-19,,All,Older Adults Only,,201-300 persons,Others Only,Observational,2020,2020,Switzerland
4906,Completed,No Results Available,Health Care,Behavioral,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2020,Canada
4907,Not yet recruiting,No Results Available,Anxiety,,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2020,Others
4908,Recruiting,No Results Available,Mental Health,,All,Adults & Older Adults,,901-1k persons,Others Only,Observational,2020,2021,France
4909,Not yet recruiting,No Results Available,PTSD & Covid-19,Behavioral,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2021,Others
4910,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,601-700 persons,Others Only,Interventional,2020,2021,Others
4911,Terminated,No Results Available,Depression & Covid -19,Behavioral,All,Older Adults Only,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Sweden
4912,Not yet recruiting,No Results Available,Others,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Others
4913,Recruiting,No Results Available,Others,Behavioral,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2021,Sweden
4914,Recruiting,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,Phase 1,1-100 persons,Others Only,Interventional,2020,2021,United States of America
4915,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,France
4916,Not yet recruiting,No Results Available,Pneumonia & Covid-19,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,Brazil
4917,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,901-1k persons,Others Only,Observational,2021,2021,United Kingdom
4918,Not yet recruiting,No Results Available,Depression & Covid -19,,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2020,Others
4919,Not yet recruiting,No Results Available,Others,Others,Female,Adults Only,Not Applicable,1-100 persons,Others Only,Interventional,2021,2021,Others
4920,Recruiting,No Results Available,Others,Drug,All,Adults & Older Adults,Phase 4,901-1k persons,Others Only,Interventional,2020,2021,United Kingdom
4921,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Not Applicable,1-100 persons,Industry Only,Interventional,2020,2021,Others
4922,"Active, not recruiting",No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,Phase 1,101-200 persons,Industry & Others,Interventional,2020,2022,United States of America
4923,Recruiting,No Results Available,Others,,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,Canada
4924,Not yet recruiting,No Results Available,Others,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Others
4925,Not yet recruiting,No Results Available,Others,,All,Children & Adults,,1-100 persons,Others Only,Observational,2021,2021,Others
4926,Recruiting,No Results Available,Covid-19 Only,Procedural,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,France
4927,Recruiting,No Results Available,Others,,All,"Children, Adults & Older Adults",,201-300 persons,Others Only,Observational,2020,2022,United Kingdom
4928,Completed,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,601-700 persons,Others Only,Observational,2020,2020,Canada
4929,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults Only,Phase 1,101-200 persons,Industry Only,Interventional,2021,2021,India
4930,Recruiting,No Results Available,Others,Behavioral,All,"Children, Adults & Older Adults",,901-1k persons,Others Only,Observational,2020,2025,France
4931,Recruiting,No Results Available,Covid-19 Only,Behavioral,All,Children & Adults,Not Applicable,501-600 persons,Others & Industry,Interventional,2021,2022,South Africa
4932,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 4,1001-5k persons,Others Only,Interventional,2021,2023,Brazil
4933,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others Only,Interventional,2020,2021,Mexico
4934,Not yet recruiting,No Results Available,Telemedicine,Others,All,"Children, Adults & Older Adults",Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,United Kingdom
4935,Recruiting,No Results Available,ARDS & Covid-19,Drug,All,Adults & Older Adults,Phase 2 & Phase 3,201-300 persons,Industry Only,Interventional,2020,2022,France
4936,"Active, not recruiting",No Results Available,PTSD & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Industry Only,Interventional,2020,2021,United States of America
4937,"Active, not recruiting",No Results Available,Others,Procedural,All,Older Adults Only,,201-300 persons,Others Only,Observational,2020,2020,Turkey
4938,"Active, not recruiting",No Results Available,Others,Others,All,Adults Only,,701-800 persons,Others Only,Observational,2020,2020,Belgium
4939,Recruiting,No Results Available,Others,Behavioral,All,Adults & Older Adults,Not Applicable,1-100 persons,Others & NIH,Interventional,2020,2021,United States of America
4940,Recruiting,No Results Available,Covid-19 Only,Drug,All,"Children, Adults & Older Adults",Phase 1 & Phase 2,101-200 persons,Others Only,Interventional,2020,2021,Brazil
4941,Recruiting,No Results Available,Pneumonia & Covid-19,Biological,All,Adults & Older Adults,Phase 1,1-100 persons,Others Only,Interventional,2020,2022,China
4942,Recruiting,No Results Available,Others,,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2021,2021,Mexico
4943,Not yet recruiting,No Results Available,Health Care,Others,All,Adults & Older Adults,Not Applicable,5001-10k persons,Others Only,Interventional,2020,2021,Others
4944,Recruiting,No Results Available,Anxiety,Behavioral,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2020,United States of America
4945,"Active, not recruiting",No Results Available,Covid-19 Only,Drug,Male,Adults Only,Phase 1,1-100 persons,Others Only,Interventional,2020,2021,Russia
4946,Completed,No Results Available,Anxiety,Behavioral,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Israel
4947,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2020,Italy
4948,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Industry Only,Interventional,2020,2021,Others
4949,Not yet recruiting,No Results Available,Others,Behavioral,All,Older Adults Only,Not Applicable,301-400 persons,Others Only,Interventional,2020,2021,Others
4950,Enrolling by invitation,No Results Available,Child Care ,Others,,"Children, Adults & Older Adults",,1001-5k persons,Others Only,Observational,2020,2021,United Kingdom
4951,Terminated,No Results Available,Covid-19 Only,Dietary Supplement,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Mexico
4952,Recruiting,No Results Available,Cancer & Covid-19,Behavioral,All,Adults & Older Adults,Not Applicable,1001-5k persons,Others Only,Interventional,2020,2022,United Kingdom
4953,Completed,No Results Available,Others,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Industry Only,Observational,2020,2020,Germany
4954,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,Saudi Arabia
4955,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others Only,Interventional,2020,2020,France
